{'x': 4.551967854221541, 'y': 3.363074095329095, 'theta': 101.91847800532307}
{'x': 4.550285470007258, 'y': 3.3710198377904605, 'theta': 101.8642170674547}
{'x': 4.535754319488671, 'y': 3.442426705790354, 'theta': 101.14755767389207}
{'x': 4.535754319488671, 'y': 3.442426705790354, 'theta': 101.14755767389207}
{'x': 4.534302931007639, 'y': 3.449758385362655, 'theta': 101.0634604953403}
{'x': 4.532862702000013, 'y': 3.457088239271927, 'theta': 100.97743449196156}
{'x': 4.530015206426181, 'y': 3.471753160872462, 'theta': 100.80042267333694}
{'x': 4.530015206426181, 'y': 3.471753160872462, 'theta': 100.80042267333694}
{'x': 4.528609857399341, 'y': 3.479087601017928, 'theta': 100.70946765466356}
{'x': 4.525832396108281, 'y': 3.495148701956792, 'theta': 100.42042234770776}
{'x': 4.525832396108281, 'y': 3.495148701956792, 'theta': 100.42042234770776}
{'x': 4.523154837431922, 'y': 3.5108692274625204, 'theta': 100.15155433340297}
{'x': 4.523154837431922, 'y': 3.5108692274625204, 'theta': 100.15155433340297}
{'x': 4.521831785484866, 'y': 3.518217847115139, 'theta': 100.05401761934951}
{'x': 4.519222192694171, 'y': 3.5329220846289546, 'theta': 99.85752067664501}
{'x': 4.519222192694171, 'y': 3.5329220846289546, 'theta': 99.85752067664501}
{'x': 4.517935765294249, 'y': 3.5402774957469694, 'theta': 99.75857061732789}
{'x': 4.5166601180335135, 'y': 3.547634807501094, 'theta': 99.6591204521104}
{'x': 4.5153980674557745, 'y': 3.5549952658626713, 'theta': 99.55918041371012}
{'x': 4.512915295858316, 'y': 3.569722158300178, 'theta': 99.35808216100864}
{'x': 4.511692514932308, 'y': 3.5770899825958242, 'theta': 99.25708353184687}
{'x': 4.511692514932308, 'y': 3.5770899825958242, 'theta': 99.25708353184687}
{'x': 4.51048625838678, 'y': 3.5844552401552523, 'theta': 99.15562743986555}
{'x': 4.509403850306994, 'y': 3.598811488660502, 'theta': 98.7606724564496}
{'x': 4.509403850306994, 'y': 3.598811488660502, 'theta': 98.7606724564496}
{'x': 4.507469480626305, 'y': 3.6134718901168092, 'theta': 98.50949250388334}
{'x': 4.507469480626305, 'y': 3.6134718901168092, 'theta': 98.50949250388334}
{'x': 4.506356187649134, 'y': 3.6208600944459306, 'theta': 98.40902640408875}
{'x': 4.504167296611319, 'y': 3.6356486928487834, 'theta': 98.21563302802127}
{'x': 4.504167296611319, 'y': 3.6356486928487834, 'theta': 98.21563302802127}
{'x': 4.502028163733885, 'y': 3.6504484325277735, 'theta': 98.0321175576606}
{'x': 4.500977324349252, 'y': 3.6578520665496406, 'theta': 97.94366324096973}
{'x': 4.491887524794256, 'y': 3.7398283669109107, 'theta': 96.79475631360111}
{'x': 4.490112643699886, 'y': 3.754688059268922, 'theta': 96.66357900130572}
{'x': 4.489237889987631, 'y': 3.7621221559227127, 'theta': 96.60436573555847}
{'x': 4.488371897926535, 'y': 3.7695576917332625, 'theta': 96.54908284520764}
{'x': 4.4875133453964455, 'y': 3.776995345255169, 'theta': 96.49714590928771}
{'x': 4.4875133453964455, 'y': 3.776995345255169, 'theta': 96.49714590928771}
{'x': 4.486662122628232, 'y': 3.7844331829771987, 'theta': 96.44818565347826}
{'x': 4.485817607002177, 'y': 3.7918729890265332, 'theta': 96.40176147182603}
{'x': 4.484953781770287, 'y': 3.808449305383322, 'theta': 96.35686496561733}
{'x': 4.484953781770287, 'y': 3.808449305383322, 'theta': 96.35686496561733}
{'x': 4.484892758669138, 'y': 3.8267064812414056, 'theta': 96.36118302746493}
{'x': 4.484060048474162, 'y': 3.8341464438299253, 'theta': 96.32645598881359}
{'x': 4.483230841168913, 'y': 3.841597882265239, 'theta': 96.29802637610887}
{'x': 4.483230841168913, 'y': 3.841597882265239, 'theta': 96.29802637610887}
{'x': 4.4824066086724885, 'y': 3.849040854695226, 'theta': 96.2778697525534}
{'x': 4.481585249854653, 'y': 3.856489444245936, 'theta': 96.26641552608463}
{'x': 4.480767185059303, 'y': 3.863928337913337, 'theta': 96.26363410324453}
{'x': 4.47913498587398, 'y': 3.8788022565167717, 'theta': 96.28340780580979}
{'x': 4.47913498587398, 'y': 3.8788022565167717, 'theta': 96.28340780580979}
{'x': 4.477499903176146, 'y': 3.8936641624299524, 'theta': 96.33276722010528}
{'x': 4.476678737134222, 'y': 3.9010888783739377, 'theta': 96.36766979817574}
{'x': 4.476678737134222, 'y': 3.9010888783739377, 'theta': 96.36766979817574}
